avg_monthly_hrs,filed_complaint,last_evaluation,n_projects,recently_promoted,satisfaction,status,tenure,salary_numeric,last_evaluation_missing,department_IT,department_Missing,department_admin,department_engineering,department_finance,department_management,department_marketing,department_procurement,department_product,department_sales,department_support,salary_high,salary_low,salary_medium
221,0.0,0.93286764,4,0.0,0.829896196,1,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
232,0.0,0.0,3,0.0,0.834543795,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
184,0.0,0.788829842,3,0.0,0.834987611,0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
206,0.0,0.575687931,4,0.0,0.424764288,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
249,0.0,0.845217472,3,0.0,0.779043096,0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
140,0.0,0.589097371,4,0.0,0.660019905,0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
121,1.0,0.62539883,3,0.0,0.835570551,0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
150,0.0,0.644585844,4,0.0,0.796683395,0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
215,1.0,0.524113534,3,0.0,0.715005032,0,7.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
269,0.0,0.90936433,5,0.0,0.994037398,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
147,0.0,0.0,2,0.0,0.403551808,1,3.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
188,1.0,0.925479635,6,0.0,0.481408602,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
191,0.0,0.94672381,5,0.0,0.925337129,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
290,0.0,0.770247875,6,0.0,0.090342793,1,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
253,0.0,0.579966137,5,0.0,0.627725955,0,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
258,0.0,0.837502513,5,0.0,0.849667273,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
151,0.0,0.452832173,4,0.0,0.658608148,0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
252,0.0,0.919196292,5,0.0,0.893364991,1,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
276,0.0,0.570038733,4,0.0,0.382260201,0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
154,0.0,0.0,2,0.0,0.422224874,1,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
259,0.0,0.763606786,2,0.0,0.787468037,0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
136,0.0,0.0,3,0.0,0.441057742,0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
176,0.0,0.0,3,0.0,0.871386304,0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
231,0.0,0.937508766,4,0.0,0.668369478,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
109,1.0,0.79806866,3,0.0,0.537828341,0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
130,1.0,0.71603037,6,0.0,0.175453989,0,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
163,0.0,0.550433959,2,0.0,0.544376726,0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
184,0.0,0.762948071,4,0.0,0.617610995,0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
268,0.0,0.943844635,3,0.0,0.936081051,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
188,0.0,0.862307682,3,0.0,1.0,0,4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
107,0.0,0.474348552,2,0.0,0.615676167,0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
156,0.0,0.621111081,3,0.0,0.428014178,0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
234,1.0,0.861565035,4,0.0,0.627199943,0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
127,0.0,0.0,5,0.0,0.834380141,0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
282,0.0,0.723354974,5,0.0,0.213991819,0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
133,0.0,0.971212667,3,0.0,0.818819904,0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
270,0.0,0.475292597,6,0.0,0.150336702,0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
184,0.0,1.0,5,0.0,0.297124012,0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
132,0.0,0.49501302,2,0.0,0.438559832,1,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
126,1.0,0.821486565,3,0.0,0.772891198,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
139,0.0,0.856088543,4,0.0,0.683456025,0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
308,0.0,0.863262837,7,0.0,0.124350225,1,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
147,0.0,0.0,2,0.0,0.401974707,1,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
274,0.0,0.842357313,5,0.0,0.803068372,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
278,0.0,0.766255776,7,0.0,0.148641754,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
156,0.0,0.988904842,4,0.0,0.456248436,0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
185,0.0,0.598749269,4,0.0,0.869204284,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
263,0.0,0.74494677,6,0.0,0.75962,0,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
260,0.0,0.765783959,5,0.0,0.711329117,0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
224,0.0,0.561019606,5,0.0,0.905668552,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
224,0.0,0.910270844,4,0.0,0.615978244,0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
135,0.0,0.533361921,2,0.0,0.38807014,1,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
147,0.0,0.713746664,2,0.0,0.967868021,0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
245,0.0,0.932526594,7,0.0,0.061173623,1,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
203,1.0,0.494479275,3,0.0,0.492376555,0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
235,1.0,0.735849779,4,0.0,0.928861452,0,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
187,0.0,0.734682888,3,0.0,0.213485172,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
132,0.0,0.535231622,2,0.0,0.429822085,1,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
258,0.0,0.813773773,7,0.0,0.146593185,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
165,0.0,0.522047697,4,0.0,0.851394379,0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
146,0.0,0.531577279,2,0.0,0.401953819,1,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
159,0.0,0.69410072,3,0.0,0.556401859,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
198,0.0,0.749982471,2,0.0,0.526960725,1,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
159,0.0,0.483106968,2,0.0,0.43881927,1,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
275,0.0,0.573595902,2,0.0,0.894658513,0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
141,0.0,0.932462217,3,0.0,0.810725322,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
173,0.0,0.0,4,0.0,0.862683386,0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
203,0.0,0.586132024,5,0.0,0.703755789,0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
203,0.0,0.606090193,4,0.0,0.274144974,0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
230,0.0,0.801731336,5,0.0,0.129582617,0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
168,0.0,0.589119715,4,0.0,0.475901904,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
183,0.0,0.716132846,3,0.0,0.786998508,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
246,0.0,0.328416715,5,0.0,0.461553349,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
209,0.0,0.707901457,5,0.0,0.83158224,0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
224,0.0,1.0,3,0.0,0.527417463,0,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
143,0.0,0.583222824,2,0.0,0.47794849,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
140,0.0,0.999150412,2,0.0,0.503040551,0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
212,0.0,0.789082021,3,0.0,0.725231676,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
156,0.0,0.502562826,3,0.0,0.635503289,0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
186,0.0,0.859763957,3,0.0,0.729667531,0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0.0,0.502258814,3,0.0,0.800482238,0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
158,0.0,0.543576313,2,0.0,0.352520083,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
156,0.0,0.0,3,0.0,0.549054593,0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
283,0.0,0.0,3,0.0,0.550003652,0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
113,0.0,0.51179362,4,0.0,0.632133264,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
214,1.0,0.0,4,0.0,0.969407787,0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
181,1.0,0.674893831,3,0.0,0.547941154,0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
140,0.0,0.801322765,4,0.0,0.526745455,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
184,0.0,0.91845009,4,0.0,0.914882605,0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
168,1.0,0.38962669,3,0.0,0.394051565,0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
146,0.0,0.557437297,2,0.0,0.471104659,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
251,0.0,0.871911091,4,0.0,0.696053471,0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
219,0.0,1.0,5,0.0,0.734579415,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
170,0.0,0.518013684,2,0.0,0.352082286,0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
187,0.0,0.680370266,4,0.0,0.189115472,0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
207,0.0,0.495033515,3,0.0,0.576405945,0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
165,0.0,0.598530648,5,0.0,0.769536381,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
241,0.0,0.766544821,3,0.0,0.851892327,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
139,0.0,0.0,4,0.0,0.771816992,0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
165,0.0,0.838420071,3,0.0,0.598248189,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
167,0.0,0.625649373,5,0.0,0.48711385,0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
163,0.0,0.927717667,4,0.0,0.792414076,0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
161,0.0,0.695097614,2,0.0,0.611688697,0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
271,0.0,0.969304005,6,0.0,0.172048603,1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
310,0.0,0.858179169,7,0.0,0.14712497,1,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
257,0.0,0.725018809,4,0.0,0.762030408,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
278,0.0,0.86223674,7,0.0,0.09798443,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
229,0.0,0.630154828,3,0.0,0.081563741,0,6.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
186,0.0,0.560171576,3,0.0,0.736063189,0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
211,0.0,0.947729025,4,0.0,0.355979751,0,7.0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
248,0.0,0.0,4,0.0,0.6236264,0,3.0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
231,1.0,0.0,3,0.0,0.745388743,0,2.0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
266,0.0,0.872041703,3,0.0,0.694190318,0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
135,0.0,0.451192122,2,0.0,0.39165186,1,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
248,0.0,1.0,5,0.0,0.700604106,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
161,0.0,0.725723556,4,0.0,0.785723887,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
212,0.0,0.872785534,3,0.0,0.53186313,0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
103,0.0,0.583870365,3,0.0,0.381824396,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
160,0.0,0.890712724,3,0.0,0.76176503,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
268,0.0,0.797235381,5,0.0,0.851411584,0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
116,1.0,0.845078319,4,0.0,0.309868647,0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
150,0.0,0.559400039,2,0.0,0.444263577,1,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
146,0.0,0.500957306,2,0.0,0.411233749,1,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
215,0.0,0.421692216,6,0.0,0.606946726,0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
